# The owner's roster, revised 2026-08-10; gemma-3-27b-it dropped by the owner.  JUST NAMES (+ an optional family after '|').
# Everything else -- price, output ceiling, release, open/closed, and the cutoff where a vendor
# publishes one -- is derived by roster_build.py from the live OpenRouter catalog.
# What the catalog cannot say is declared in overrides_owner_25.json, each with a reason.
# Add or remove a line and rebuild. No code changes, ever.
#
# id                                  | family (optional; groups variants for the analysis)
meta-llama/llama-4-maverick           | Llama 4
meta-llama/llama-3.3-70b-instruct     | Llama 3.x
google/gemma-3-12b-it                 | Gemma 3
mistralai/mistral-large-2512          | Mistral Large
mistralai/mistral-medium-3.1          | Mistral Medium
minimax/minimax-m3                    | MiniMax M3
minimax/minimax-m2.5                  | MiniMax M2.5
qwen/qwen-2.5-72b-instruct            | Qwen2.5
qwen/qwen3.5-397b-a17b                | Qwen3.5
x-ai/grok-4.3                         | Grok 4.3
moonshotai/kimi-k2.6                  | Kimi K2.6
moonshotai/kimi-k2.5                  | Kimi K2.5
deepseek/deepseek-chat-v3.1           | DeepSeek V3.1
deepseek/deepseek-v3.2                | DeepSeek V3.2
z-ai/glm-4.7                          | GLM-4.x
z-ai/glm-5                            | GLM-5
nvidia/nemotron-3-super-120b-a12b     | Nemotron 3
nvidia/nemotron-3-ultra-550b-a55b     | Nemotron 3
anthropic/claude-haiku-4.5            | Claude
anthropic/claude-sonnet-4.6           | Claude
openai/gpt-5.4                        | GPT-5.x
openai/gpt-5.4-mini                   | GPT-5.x
google/gemini-3.1-flash-lite          | Gemini 3.x
google/gemini-3.1-pro-preview         | Gemini 3.x
