family,model,condition,n,parsed,parse_rate,truncated,truncation_rate,errors,brier,brier_base_rate_ref,roc_auc,mean_forecast,accuracy@0.5,recall@0.5,precision@0.5,median_trace_chars,median_latency_s
forecast,llama-2-13b-chat-gptq8,BTF-cot-concise,40,27,0.675,0,0.0,0,0.4478,0.192,0.5714,0.7111,0.3704,0.7143,0.25,2260.5,18.22
forecast,llama-2-13b-chat-gptq8,BTF-cot-simple,40,28,0.7,0,0.0,0,0.4909,0.1467,0.5913,0.6601,0.4643,0.6,0.1875,2718.0,21.0
forecast,llama-2-13b-chat-gptq8,BTF-noevidence,40,21,0.525,0,0.0,0,0.4398,0.1542,0.375,0.5429,0.381,0.0,0.0,2325.5,18.9
forecast,llama-2-13b-chat-gptq8,FB-cot-concise,40,40,1.0,0,0.0,0,0.1524,0.1444,0.6623,0.2837,0.825,0.0,,1716.5,10.11
forecast,llama-2-13b-chat-gptq8,FB-cot-simple,40,39,0.975,0,0.0,1,0.1488,0.1473,0.7455,0.2971,0.8462,0.2857,0.6667,2273.0,13.73
forecast,llama-2-13b-chat-gptq8,FB-zeroshot,40,40,1.0,1,0.025,0,0.1358,0.1444,0.7771,0.2983,0.775,0.2857,0.3333,7.0,0.84
forecast,llama-2-13b-chat-gptq8,FBnp-cot-concise,40,40,1.0,0,0.0,0,0.2124,0.1444,0.5346,0.3561,0.7,0.0,0.0,1759.5,9.09
forecast,llama-2-13b-chat-gptq8,FBnp-cot-simple,40,40,1.0,0,0.0,0,0.2008,0.1444,0.526,0.3267,0.775,0.2857,0.3333,1992.0,11.12
forecast,llama-2-13b-chat-gptq8,FBnp-zeroshot,40,40,1.0,0,0.0,0,0.177,0.1444,0.6407,0.3628,0.75,0.1429,0.2,7.0,0.63
forecast,llama-2-13b-chat-gptq8,cot-concise,40,38,0.95,0,0.0,0,0.2459,0.1503,0.7074,0.4036,0.7368,0.7143,0.3846,1263.0,7.4
forecast,llama-2-13b-chat-gptq8,cot-simple,40,36,0.9,0,0.0,1,0.217,0.1389,0.7694,0.415,0.7778,0.8333,0.4167,1239.0,7.49
forecast,llama-3.1-8b-instruct,BTF-cot-concise,40,40,1.0,0,0.0,0,0.2912,0.1444,0.4177,0.2988,0.675,0.1429,0.125,3453.0,13.72
forecast,llama-3.1-8b-instruct,BTF-cot-simple,40,40,1.0,0,0.0,0,0.2061,0.1444,0.5844,0.2441,0.75,0.1429,0.2,3876.0,16.11
forecast,llama-3.1-8b-instruct,BTF-noevidence,40,35,0.875,0,0.0,0,0.1624,0.142,0.658,0.2391,0.8,0.3333,0.4,2799.0,10.95
forecast,llama-3.1-8b-instruct,FB-cot-concise,40,40,1.0,0,0.0,0,0.0791,0.1444,0.9177,0.2058,0.95,0.7143,1.0,1398.0,5.04
forecast,llama-3.1-8b-instruct,FB-cot-simple,40,40,1.0,0,0.0,0,0.084,0.1444,0.9307,0.2215,0.9,0.5714,0.8,1621.5,6.71
forecast,llama-3.1-8b-instruct,FB-zeroshot,40,40,1.0,0,0.0,0,0.0991,0.1444,0.8203,0.2025,0.875,0.4286,0.75,7.0,0.34
forecast,llama-3.1-8b-instruct,FBnp-cot-concise,40,40,1.0,0,0.0,0,0.1268,0.1444,0.7078,0.1855,0.875,0.2857,1.0,1499.5,5.63
forecast,llama-3.1-8b-instruct,FBnp-cot-simple,40,40,1.0,1,0.025,0,0.1468,0.1444,0.6017,0.1898,0.825,0.1429,0.5,1866.0,6.77
forecast,llama-3.1-8b-instruct,FBnp-zeroshot,40,40,1.0,0,0.0,0,0.1508,0.1444,0.5606,0.1676,0.875,0.2857,1.0,6.0,0.31
forecast,llama-3.1-8b-instruct,cot-concise,40,32,0.8,3,0.075,0,0.2143,0.1523,0.6474,0.3383,0.7188,0.6667,0.3636,1203.5,4.95
forecast,llama-3.1-8b-instruct,cot-simple,40,35,0.875,4,0.1,0,0.2138,0.16,0.5179,0.2671,0.6857,0.2857,0.25,1877.0,6.9
