model,condition,question_id,source,ANSWER_forecast,GROUND_TRUTH_outcome,COMPARISON_brier,correct@0.5,finish_reason,truncated,parsed,REASONING_preview,reasoning_chars,prompt_chars,latency_s
llama-2-13b-chat-gptq8,FB-zeroshot,0x50b8b0f741566a420756d975faaf4cc4716229cd5183c3a35b3b20ac2b5050ef,polymarket,0.42,1,0.3364,0,stop,0,1,  *0.42,7,1520,25.37
llama-2-13b-chat-gptq8,FB-zeroshot,0x67cc22ede739a48424f07683b53b546579345c8c963a9b21b7e6c31501e84353,polymarket,0.27,0,0.0729,1,stop,0,1,  *0.27,7,1235,25.38
llama-2-13b-chat-gptq8,FB-zeroshot,1413,infer,0.42,0,0.1764,1,stop,0,1,  *0.42,7,2056,25.38
llama-2-13b-chat-gptq8,FB-zeroshot,0xd40a952afb5e78600bc4e41a1587a1f18fe40c803edc5d4a7d5de76ff8660ec2,polymarket,0.45,0,0.2025,1,stop,0,1,  *0.45,7,1813,25.39
llama-2-13b-chat-gptq8,FB-zeroshot,1414,infer,0.53,0,0.2809,0,stop,0,1,  *0.53,7,3645,25.4
llama-2-13b-chat-gptq8,FB-zeroshot,0xc85fe2698d8434f9ebd0fa82d75fe2da36edfc81a354b85fef1582d889e5655f,polymarket,0.076,0,0.00578,1,stop,0,1,  *0.076,8,1555,25.4
llama-2-13b-chat-gptq8,FB-zeroshot,0x73b046b7970a1780f1d7a0cacf73413325911dd87cdc5b63cfdc27496110fb1b,polymarket,0.12,0,0.0144,1,stop,0,1,  *0.12,7,1520,25.4
llama-2-13b-chat-gptq8,FB-zeroshot,0x570568964af751a02d31d4d829fed2f7afe8f51fdf592e0338a08cec065f01ea,polymarket,0.23,0,0.0529,1,stop,0,1,  *0.23,7,1508,25.43
llama-2-13b-chat-gptq8,FB-zeroshot,0xeb681c0ed923daa35ca2af168502b6e8dead38cfbc71505d10cda6653a4a0216,polymarket,0.67,1,0.1089,1,stop,0,1,  *0.67,7,1658,0.87
llama-2-13b-chat-gptq8,FB-zeroshot,29027,metaculus,0.45,0,0.2025,1,stop,0,1,  *0.45,7,4205,0.87
llama-2-13b-chat-gptq8,FB-zeroshot,0x63e3c9432d9e3a0e9665d1152fc0a05f6ed17c9033eb9290062d25d2afb2bed5,polymarket,0.35,1,0.4225,0,stop,0,1,  *0.35,7,1575,0.87
llama-2-13b-chat-gptq8,FB-zeroshot,0x55881f30e5f88d7dece08a4e63daa633a9c1905ff0d454088dc16d19881fe3f8,polymarket,0.07,0,0.0049,1,stop,0,1,  *0.07,7,1509,0.88
llama-2-13b-chat-gptq8,FB-zeroshot,0x7c3c06dfd81958876a723f95d518933ed321e96666cd005bff82f5dc18494e32,polymarket,0.07,0,0.0049,1,stop,0,1,  *0.07,7,1331,0.87
llama-2-13b-chat-gptq8,FB-zeroshot,0x0f8b644e78bbe65c2ab9ff2aa3a9a0df135d76a46438b5584b3fe448d358bd47,polymarket,0.42,0,0.1764,1,stop,0,1,  *0.42,7,1798,0.86
llama-2-13b-chat-gptq8,FB-zeroshot,0xab6faa3e66abacc484bbb4bd31ae5e2a56d6f6252b5023631f1bd9e5299fa2f8,polymarket,0.06,0,0.0036,1,stop,0,1,  *0.06,7,1164,0.86
llama-2-13b-chat-gptq8,FB-zeroshot,0x677826754ff7328696c121a398fdf495dcd2e04f84ecb6494b85b2883ccaa6ca,polymarket,0.12,0,0.0144,1,stop,0,1,  *0.12,7,1519,0.57
llama-2-13b-chat-gptq8,FB-zeroshot,0x4fccc0dcb625ea55ff1ca0409bb44fe1952c04bc16cf5255002ceb2cc3791888,polymarket,0.42,0,0.1764,1,stop,0,1,  *0.42,7,1450,0.58
llama-2-13b-chat-gptq8,FB-zeroshot,0x6924e1f680ceef1cf6cc14a4704a3b455b0816f04e1e09523fac4c2769aaa56a,polymarket,0.07,0,0.0049,1,stop,0,1,  *0.07,7,1453,0.57
llama-2-13b-chat-gptq8,FB-zeroshot,0x4833d7259bc503e8d211c477f7d21a00629e926382f920195d697fca38d4ad9b,polymarket,0.04,0,0.0016,1,stop,0,1,  *0.04,7,1510,0.57
llama-2-13b-chat-gptq8,FB-zeroshot,28RJ23fKDFMr4Mo8YQ4f,manifold,0.42,1,0.3364,0,stop,0,1,  *0.42,7,875,0.58
llama-2-13b-chat-gptq8,FB-zeroshot,AtLFLzDlSERmVcSdUapy,manifold,0.25,0,0.0625,1,stop,0,1,  *0.25,7,1041,0.59
llama-2-13b-chat-gptq8,FB-zeroshot,0x4becea47e17b95639cbbdbe31cd968d129823be89249c2b09b911c7333772b57,polymarket,0.45,0,0.2025,1,stop,0,1,  *0.45,7,1810,0.57
llama-2-13b-chat-gptq8,FB-zeroshot,QVCzHBisAcKNfHYEAB4G,manifold,0.5567894989123457,1,0.19644,1,stop,0,1,  *0.5567894989123457,21,824,2.02
llama-2-13b-chat-gptq8,FB-zeroshot,0xae05fb58c41ea3d2a51ac95ca0f5c48824038dc2d1dbf6ac3453ae39a76e71f4,polymarket,0.25,0,0.0625,1,stop,0,1,  *0.25,7,1567,0.7
llama-2-13b-chat-gptq8,FB-zeroshot,0x5ce0d897bd66142c43a38204a67ad85bc3e0643382258411a5aa58ca3e825082,polymarket,0.35,1,0.4225,0,stop,0,1,  *0.35,7,1500,0.7
llama-2-13b-chat-gptq8,FB-zeroshot,0xadde598dced41995a4f96f5c8602608514539ac4467d623ed9f280bcf7c2f9cd,polymarket,0.14,0,0.0196,1,stop,0,1,  *0.14,7,1557,0.69
llama-2-13b-chat-gptq8,FB-zeroshot,0x5b2691a691ece9066c2b855815e6c8784011833b17d85c65976dc7494b18e002,polymarket,0.42,0,0.1764,1,stop,0,1,  *0.42,7,1234,0.68
llama-2-13b-chat-gptq8,FB-zeroshot,h2h0QzCqqC,manifold,0.45,1,0.3025,0,stop,0,1,  *0.45,7,1148,0.71
llama-2-13b-chat-gptq8,FB-zeroshot,sis542tw6o,manifold,0.55,0,0.3025,0,stop,0,1,  *0.55,7,2597,0.69
llama-2-13b-chat-gptq8,FB-zeroshot,0x6452c3d3e25f381ce39e9b7ffb06cf9d7a7cf1cc6c13044c2403c4606b77e5f8,polymarket,0.55,0,0.3025,0,stop,0,1,  *0.55,7,1265,0.7
llama-2-13b-chat-gptq8,FB-zeroshot,0xc634b556b8f47434d7837594ff59c9daea654c4d5c9c50e2a352736db1d5c656,polymarket,0.25,0,0.0625,1,stop,0,1,  *0.25,7,1143,0.68
llama-2-13b-chat-gptq8,FB-zeroshot,0xd76d5172fffaaf2b0d0db29bd944a462654a20a4a327860e4e0438d13b6a4bee,polymarket,0.07,0,0.0049,1,stop,0,1,  *0.07,7,1217,0.67
llama-2-13b-chat-gptq8,FB-zeroshot,0x4e26e75da2ec8c084efdb89b1883e7889f21ad32bc36a81ed13c001bebb72929,polymarket,0.12,0,0.0144,1,stop,0,1,  *0.12,7,1413,0.65
llama-2-13b-chat-gptq8,FB-zeroshot,0xa9fcdaf248a0560f83cf7c7e75cad23d3151b2169a22f22b316eb822bdc27329,polymarket,0.07,0,0.0049,1,stop,0,1,  *0.07,7,1692,0.66
llama-2-13b-chat-gptq8,FB-zeroshot,0x54377fdef57c1c82b31385a9164e87ff58a92ec6bb64cd55bc6d88a9e2b82fd6,polymarket,0.07,0,0.0049,1,stop,0,1,  *0.07,7,1519,0.65
llama-2-13b-chat-gptq8,FB-zeroshot,17519,metaculus,0.25,0,0.0625,1,stop,0,1,  *0.25,7,982,0.82
llama-2-13b-chat-gptq8,FB-zeroshot,0xc84ac0cca6352c640525e455600e3d7798bbf5b2259444b78910c99e1dcb7c33,polymarket,0.42,0,0.1764,1,stop,0,1,  *0.42,7,1472,0.98
llama-2-13b-chat-gptq8,FB-zeroshot,dcgscdEUc0,manifold,0.357142857142857,0,0.12755,1,stop,0,1,  *0.357142857142857,20,2557,1.92
llama-2-13b-chat-gptq8,FB-zeroshot,AaZr2KnQYHGRVHzvKoHa,manifold,0.5572357142857143,0,0.31051,0,stop,0,1,  *0.5572357142857143,21,1253,1.96
llama-2-13b-chat-gptq8,BTF-noevidence,1413,infer,0.6,0,0.36,0,stop,0,1,"  Thank you for the background information and the research provided. Based on the information available, I will provide my probabilistic forecast for the question ""Will Vladimir Putin cease to be the president of the Russian Federation before 1 July 2025?"" ⏎  ⏎ (a) The time left until the outcome to the question is known: As of today, there are approximately 15 months left until 1 July 2025. ⏎  ⏎",1995,4626,13.95
llama-2-13b-chat-gptq8,BTF-noevidence,0xc85fe2698d8434f9ebd0fa82d75fe2da36edfc81a354b85fef1582d889e5655f,polymarket,0.2,0,0.04,1,stop,0,1,"  Thank you for the background information and research provided. Based on my analysis, I will provide a probabilistic forecast for the question ""Will Bitcoin reach $130,000 by March 31?"" ⏎  ⏎ (a) The time left until the outcome to the question is known: As of March 2, 2025, there are approximately 30 days left until the outcome of the question is known. ⏎  ⏎ (b) The status quo outcome if nothing ",2203,4126,14.76
llama-2-13b-chat-gptq8,BTF-noevidence,0x570568964af751a02d31d4d829fed2f7afe8f51fdf592e0338a08cec065f01ea,polymarket,1.0,0,1.0,0,stop,0,1,"  Thank you for the background information and research provided. Based on my analysis, I will provide a probabilistic forecast for the question ""Will NASA estimate a 5% chance of asteroid hitting Earth?"" ⏎  ⏎ (a) The time left until the outcome to the question is known: As of March 2nd, 2025, there are approximately 21 months left until the outcome is known (June 30th, 2025, 11:59 PM ET). ⏎  ⏎ (b",2272,4065,15.85
llama-2-13b-chat-gptq8,BTF-noevidence,0x67cc22ede739a48424f07683b53b546579345c8c963a9b21b7e6c31501e84353,polymarket,,0,,,stop,0,0,"  Thank you for the background information and research provided. Based on my analysis, I will provide a probabilistic forecast for the question ""Will the U.S. abandon the Al-Tanf Military Facility in Syria before April 2025?"" ⏎  ⏎ (a) The time left until the outcome is known: As of March 2nd, 2025, there are approximately 63 days left until the outcome is known. ⏎  ⏎ (b) The status quo outcome if",2320,3806,16.9
llama-2-13b-chat-gptq8,BTF-noevidence,0x73b046b7970a1780f1d7a0cacf73413325911dd87cdc5b63cfdc27496110fb1b,polymarket,,0,,,stop,0,0,"  Thank you for the background information and research provided. Based on my analysis, I will provide a probabilistic forecast for the question ""Will Turkey leave NATO by June 30?"" ⏎  ⏎ (a) The time left until the outcome to the question is known: There are approximately 90 days left until June 30, 2025. ⏎  ⏎ (b) The status quo outcome if nothing changed: Turkey is currently a member of NATO and ",2655,4092,17.71
llama-2-13b-chat-gptq8,BTF-noevidence,1414,infer,1.0,0,1.0,0,stop,0,1,"  As a professional forecaster, I will provide a probabilistic forecast for the question ""On 31 May 2025, will Nvidia be the world’s most valuable company by market cap?"" based on the information provided. ⏎  ⏎ First, I will consider the current market trends and the status quo outcome. As of today (02 March 2025), Nvidia is the third most valuable company by market cap, behind Microsoft and Apple",2727,6215,24.13
llama-2-13b-chat-gptq8,BTF-noevidence,0x50b8b0f741566a420756d975faaf4cc4716229cd5183c3a35b3b20ac2b5050ef,polymarket,0.35,1,0.4225,0,stop,0,1,"  Thank you for the background information and research provided. Based on my analysis, I will provide a probabilistic forecast for the question ""Will a new country buy Bitcoin in 2025?"" ⏎  ⏎ (a) The time left until the outcome to the question is known: There are approximately 9 months left until the end of 2025, the resolution time frame for this question. ⏎  ⏎ (b) The status quo outcome if nothi",2240,4091,26.02
llama-2-13b-chat-gptq8,BTF-noevidence,29027,metaculus,1.0,0,1.0,0,stop,0,1,"  Thank you for the detailed question and background information. Based on my analysis and considering the current information available, I would assign a probability of 20% to the outcome of ""Yes, the World Health Organization will designate a new COVID-19 Variant of Concern before July 1, 2025."" ⏎  ⏎ Here's my reasoning: ⏎  ⏎ (a) Time left until the outcome is known: There are approximately 90 d",1861,6777,14.82
llama-2-13b-chat-gptq8,BTF-noevidence,0xd40a952afb5e78600bc4e41a1587a1f18fe40c803edc5d4a7d5de76ff8660ec2,polymarket,,0,,,stop,0,0,"  Thank you for the detailed background and criteria for the question. Based on my analysis and research, I will provide my probabilistic forecast for the question ""Will Anthropic have the top AI model on June 30?"" ⏎  ⏎ (a) The time left until the outcome to the question is known: There are approximately 90 days left until the outcome is known. ⏎  ⏎ (b) The status quo outcome if nothing changed: T",2195,4385,17.7
