run,bench,arm,model,on_current_roster,planned,answered,complete,no_answer,truncated,undecided,budget_capped,unusable,missing
or_futurex_fxgate,futurex,original,anthropic/claude-haiku-4.5,True,110,109,105,0,0,4,0,4,1
or_futurex_fxgate,futurex,original,anthropic/claude-sonnet-4.6,True,110,110,110,0,0,0,0,0,0
or_futurex_fxgate,futurex,original,deepseek/deepseek-chat-v3.1,True,110,110,109,1,0,0,0,0,0
or_futurex_fxgate,futurex,original,deepseek/deepseek-v3.2,True,110,108,108,0,0,0,0,0,2
or_futurex_fxgate,futurex,original,google/gemini-3.1-flash-lite,True,110,108,108,0,0,0,0,0,2
or_futurex_fxgate,futurex,original,google/gemini-3.1-pro-preview,True,110,109,107,2,0,0,0,0,1
or_futurex_fxgate,futurex,original,google/gemma-3-12b-it,True,110,110,110,0,0,0,0,0,0
or_futurex_fxgate,futurex,original,meta-llama/llama-3.3-70b-instruct,True,110,109,108,0,0,1,0,1,1
or_futurex_fxgate,futurex,original,meta-llama/llama-4-maverick,True,110,97,83,0,0,14,0,14,13
or_futurex_fxgate,futurex,original,minimax/minimax-m2.5,True,110,108,100,8,0,0,0,0,2
or_futurex_fxgate,futurex,original,minimax/minimax-m3,True,110,110,106,1,2,1,0,3,0
or_futurex_fxgate,futurex,original,mistralai/mistral-large-2512,True,110,110,106,0,0,4,0,4,0
or_futurex_fxgate,futurex,original,mistralai/mistral-medium-3.1,True,110,109,108,0,0,1,0,1,1
or_futurex_fxgate,futurex,original,moonshotai/kimi-k2.5,True,110,108,108,0,0,0,0,0,2
or_futurex_fxgate,futurex,original,moonshotai/kimi-k2.6,True,110,105,103,1,0,0,1,1,5
or_futurex_fxgate,futurex,original,nvidia/nemotron-3-super-120b-a12b,True,110,74,65,1,0,0,8,8,36
or_futurex_fxgate,futurex,original,nvidia/nemotron-3-ultra-550b-a55b,True,110,109,107,1,0,0,1,1,1
or_futurex_fxgate,futurex,original,openai/gpt-5.4,True,110,110,110,0,0,0,0,0,0
or_futurex_fxgate,futurex,original,openai/gpt-5.4-mini,True,110,110,110,0,0,0,0,0,0
or_futurex_fxgate,futurex,original,qwen/qwen-2.5-72b-instruct,True,110,107,107,0,0,0,0,0,3
or_futurex_fxgate,futurex,original,qwen/qwen3.5-397b-a17b,True,110,108,105,1,0,0,2,2,2
or_futurex_fxgate,futurex,original,x-ai/grok-4.3,True,110,110,109,1,0,0,0,0,0
or_futurex_fxgate,futurex,original,z-ai/glm-4.7,True,110,107,105,2,0,0,0,0,3
or_futurex_fxgate,futurex,original,z-ai/glm-5,True,110,108,103,2,0,1,2,3,2
or_btf3_btfgate,btf3,original,anthropic/claude-opus-4.8,False,110,9,9,0,0,0,0,0,101
or_btf3_btfgate,btf3,original,anthropic/claude-sonnet-4.6,True,110,9,9,0,0,0,0,0,101
or_btf3_btfgate,btf3,original,anthropic/claude-sonnet-5,False,110,9,9,0,0,0,0,0,101
or_btf3_btfgate,btf3,original,deepseek/deepseek-chat-v3.1,True,110,9,8,1,0,0,0,0,101
or_btf3_btfgate,btf3,original,deepseek/deepseek-r1,False,110,9,3,6,0,0,0,0,101
or_btf3_btfgate,btf3,original,deepseek/deepseek-v3.1-terminus,False,110,9,6,3,0,0,0,0,101
or_btf3_btfgate,btf3,original,deepseek/deepseek-v3.2,True,110,9,3,6,0,0,0,0,101
or_btf3_btfgate,btf3,original,google/gemini-3.1-pro-preview,True,110,9,8,1,0,0,0,0,101
or_btf3_btfgate,btf3,original,google/gemini-3.5-flash,False,110,9,9,0,0,0,0,0,101
or_btf3_btfgate,btf3,original,google/gemini-3.5-flash-lite,False,110,9,6,1,2,0,0,2,101
or_btf3_btfgate,btf3,original,google/gemma-3-12b-it,True,110,9,9,0,0,0,0,0,101
or_btf3_btfgate,btf3,original,google/gemma-3-27b-it,False,110,9,7,2,0,0,0,0,101
or_btf3_btfgate,btf3,original,meta-llama/llama-3.1-8b-instruct,False,110,9,0,9,0,0,0,0,101
or_btf3_btfgate,btf3,original,meta-llama/llama-3.3-70b-instruct,True,110,9,5,2,2,0,0,2,101
or_btf3_btfgate,btf3,original,meta-llama/llama-4-maverick,True,110,9,3,6,0,0,0,0,101
or_btf3_btfgate,btf3,original,minimax/minimax-m2.1,False,110,9,8,1,0,0,0,0,101
or_btf3_btfgate,btf3,original,minimax/minimax-m2.5,True,110,9,6,2,1,0,0,1,101
or_btf3_btfgate,btf3,original,minimax/minimax-m3,True,110,9,9,0,0,0,0,0,101
or_btf3_btfgate,btf3,original,mistralai/mistral-large-2512,True,110,9,1,7,1,0,0,1,101
or_btf3_btfgate,btf3,original,mistralai/mistral-medium-3.1,True,110,9,0,4,5,0,0,5,101
or_btf3_btfgate,btf3,original,mistralai/mistral-small-3.2-24b-instruct,False,110,9,0,7,2,0,0,2,101
or_btf3_btfgate,btf3,original,moonshotai/kimi-k2,False,110,9,5,4,0,0,0,0,101
or_btf3_btfgate,btf3,original,moonshotai/kimi-k2.5,True,110,9,8,1,0,0,0,0,101
or_btf3_btfgate,btf3,original,moonshotai/kimi-k2.6,True,110,9,9,0,0,0,0,0,101
or_btf3_btfgate,btf3,original,nvidia/nemotron-3-super-120b-a12b,True,110,9,7,2,0,0,0,0,101
or_btf3_btfgate,btf3,original,nvidia/nemotron-3-ultra-550b-a55b,True,110,9,4,5,0,0,0,0,101
